"","Date","Cases per day","Cumulative cases","Cases in the last 7 days","7-day average of daily cases","14-day average of daily cases"
"215",2020-08-02,1154,91121,11470,1639,1689
"216",2020-08-03,1043,92164,11206,1601,1656
"217",2020-08-04,949,93113,10705,1529,1627
"218",2020-08-05,1862,94975,10622,1517,1618
"219",2020-08-06,1716,96691,10337,1477,1592
"220",2020-08-07,1839,98530,10584,1512,1573
"221",2020-08-08,938,99468,9501,1357,1541
"222",2020-08-09,1612,101080,9959,1423,1531
"223",2020-08-10,926,102006,9842,1406,1503
"224",2020-08-11,1070,103076,9963,1423,1476
"225",2020-08-12,732,103808,8833,1262,1390
"226",2020-08-13,751,104559,7868,1124,1300
"227",2020-08-14,1116,105675,7145,1021,1266
"228",2020-08-15,828,106503,7035,1005,1181
"229",2020-08-16,742,107245,6165,881,1152
"230",2020-08-17,1423,108668,6662,952,1179
"231",2020-08-18,1317,109985,6909,987,1205
"232",2020-08-19,1280,111265,7457,1065,1164
"233",2020-08-20,1038,112303,7744,1106,1115
"234",2020-08-21,1459,113762,8087,1155,1088
"235",2020-08-22,592,114354,7851,1122,1063
"236",2020-08-23,669,115023,7778,1111,996
"237",2020-08-24,556,115579,6911,987,970
"238",2020-08-25,2116,117695,7710,1101,1044
"239",2020-08-26,1694,119389,8124,1161,1113
"240",2020-08-27,1129,120518,8215,1174,1140
"241",2020-08-28,1830,122348,8586,1227,1191
"242",2020-08-29,1270,123618,9264,1323,1222
"243",2020-08-30,786,124404,9381,1340,1226
"244",2020-08-31,1541,125945,10366,1481,1234
"245",2020-09-01,733,126678,8983,1283,1192
"246",2020-09-02,1006,127684,8295,1185,1173
"247",2020-09-03,979,128663,8145,1164,1169
"248",2020-09-04,1144,129807,7459,1066,1146
"249",2020-09-05,539,130346,6728,961,1142
"250",2020-09-06,771,131117,6713,959,1150
"251",2020-09-07,523,131640,5695,814,1147
"252",2020-09-08,781,132421,5743,820,1052
"253",2020-09-09,1051,133472,5788,827,1006
"254",2020-09-10,1072,134544,5881,840,1002
"255",2020-09-11,953,135497,5690,813,939
"256",2020-09-12,1043,136540,6194,885,923
"257",2020-09-13,687,137227,6110,873,916
"258",2020-09-14,749,137976,6336,905,859
"259",2020-09-15,1040,139016,6595,942,881
"260",2020-09-16,774,139790,6318,903,865
"261",2020-09-17,1045,140835,6291,899,869
"262",2020-09-18,1335,142170,6673,953,883
"263",2020-09-19,807,142977,6437,920,902
"264",2020-09-20,744,143721,6494,928,900
"265",2020-09-21,864,144585,6609,944,925
"266",2020-09-22,647,145232,6216,888,915
"267",2020-09-23,1035,146267,6477,925,914
"268",2020-09-24,2187,148454,7619,1088,994
"269",2020-09-25,950,149404,7234,1033,993
"270",2020-09-26,714,150118,7141,1020,970
"271",2020-09-27,634,150752,7031,1004,966
"272",2020-09-28,738,151490,6905,986,965
"273",2020-09-29,1220,152710,7478,1068,978
"274",2020-09-30,1167,153877,7610,1087,1006
"275",2020-10-01,940,154817,6363,909,999
"276",2020-10-02,1654,156471,7067,1010,1022
"277",2020-10-03,773,157244,7126,1018,1019
"278",2020-10-04,527,157771,7019,1003,1004
"279",2020-10-05,729,158500,7010,1001,994
"280",2020-10-06,992,159492,6782,969,1019
"281",2020-10-07,582,160074,6197,885,986
"282",2020-10-08,1561,161635,6818,974,942
"283",2020-10-09,1181,162816,6345,906,958
"284",2020-10-10,800,163616,6372,910,964
"285",2020-10-11,710,164326,6555,936,970
"286",2020-10-12,1085,165411,6911,987,994
"287",2020-10-13,866,166277,6785,969,969
"288",2020-10-14,1206,167483,7409,1058,972
"289",2020-10-15,1211,168694,7059,1008,991
"290",2020-10-16,1296,169990,7174,1025,966
"291",2020-10-17,969,170959,7343,1049,980
"292",2020-10-18,846,171805,7479,1068,1002
"293",2020-10-19,1058,172863,7452,1065,1026
"294",2020-10-20,1112,173975,7698,1100,1034
"295",2020-10-21,1372,175347,7864,1123,1091
"296",2020-10-22,3708,179055,10361,1480,1244
"297",2020-10-23,2078,181133,11143,1592,1308
"298",2020-10-24,1243,182376,11417,1631,1340
"299",2020-10-25,881,183257,11452,1636,1352
"300",2020-10-26,1198,184455,11592,1656,1360
"301",2020-10-27,1309,185764,11789,1684,1392
"302",2020-10-28,1483,187247,11900,1700,1412
"303",2020-10-29,1310,188557,9502,1357,1419
"304",2020-10-30,1774,190331,9198,1314,1453
"305",2020-10-31,1609,191940,9564,1366,1499
"306",2020-11-01,822,192762,9505,1358,1497
"307",2020-11-02,1206,193968,9513,1359,1508
"308",2020-11-03,1773,195741,9977,1425,1555
"309",2020-11-04,1395,197136,9889,1413,1556
"310",2020-11-05,1567,198703,10146,1449,1403
"311",2020-11-06,1565,200268,9937,1420,1367
"312",2020-11-07,1376,201644,9704,1386,1376
"313",2020-11-08,1140,202784,10022,1432,1395
"314",2020-11-09,1793,204577,10609,1516,1437
"315",2020-11-10,2089,206666,10925,1561,1493
"316",2020-11-11,1960,208626,11490,1641,1527
"317",2020-11-12,2918,211544,12841,1834,1642
"318",2020-11-13,2239,213783,13515,1931,1675
"319",2020-11-14,1672,215455,13811,1973,1680
"320",2020-11-15,1589,217044,14260,2037,1734
"321",2020-11-16,1561,218605,14028,2004,1760
"322",2020-11-17,2666,221271,14605,2086,1824
"323",2020-11-18,2359,223630,15004,2143,1892
"324",2020-11-19,2516,226146,14602,2086,1960
"325",2020-11-20,2334,228480,14697,2100,2015
"326",2020-11-21,1581,230061,14606,2087,2030
"327",2020-11-22,1599,231660,14616,2088,2063
"328",2020-11-23,2757,234417,15812,2259,2131
"329",2020-11-24,2487,236904,15633,2233,2160
"330",2020-11-25,2718,239622,15992,2285,2214
"331",2020-11-26,874,240496,14350,2050,2068
"332",2020-11-27,2029,242525,14045,2006,2053
"333",2020-11-28,2168,244693,14632,2090,2088
"334",2020-11-29,2138,246831,15171,2167,2128
"335",2020-11-30,3445,250276,15859,2266,2262
"336",2020-12-01,3847,254123,17219,2460,2347
"337",2020-12-02,3534,257657,18035,2576,2430
"338",2020-12-03,3787,261444,20948,2993,2521
"339",2020-12-04,3325,264769,22244,3178,2592
"340",2020-12-05,2138,266907,22214,3173,2632
"341",2020-12-06,2263,269170,22339,3191,2679
"342",2020-12-07,4487,273657,23381,3340,2803
"343",2020-12-08,3516,277173,23050,3293,2876
"344",2020-12-09,4674,281847,24190,3456,3016
"345",2020-12-10,3935,285782,24338,3477,3235
"346",2020-12-11,4072,289854,25085,3584,3381
"347",2020-12-12,2663,292517,25610,3659,3416
"348",2020-12-13,2211,294728,25558,3651,3421
"349",2020-12-14,3833,298561,24904,3558,3449
"350",2020-12-15,4028,302589,25416,3631,3462
"351",2020-12-16,4166,306755,24908,3558,3507
"352",2020-12-17,5271,312026,26244,3749,3613
"353",2020-12-18,4128,316154,26300,3757,3670
"354",2020-12-19,2470,318624,26107,3730,3694
"355",2020-12-20,2530,321154,26426,3775,3713
"356",2020-12-21,4916,326070,27509,3930,3744
"357",2020-12-22,4583,330653,28064,4009,3820
"358",2020-12-23,3970,334623,27868,3981,3770
"359",2020-12-24,3535,338158,26132,3733,3741
"360",2020-12-25,1063,339221,23067,3295,3526
"361",2020-12-26,2321,341542,22918,3274,3502
"362",2020-12-27,2255,343797,22643,3235,3505
"363",2020-12-28,3972,347769,21699,3100,3515
"364",2020-12-29,4876,352645,21992,3142,3575
"365",2020-12-30,4572,357217,22594,3228,3604
"366",2020-12-31,4779,361996,23838,3405,3569
"367",2021-01-01,3621,365617,26396,3771,3533
"368",2021-01-02,2497,368114,26572,3796,3535
"369",2021-01-03,2101,370215,26418,3774,3504
"370",2021-01-04,5520,375735,27966,3995,3548
"371",2021-01-05,4646,380381,27736,3962,3552
"372",2021-01-06,5105,385486,28269,4038,3633
"373",2021-01-07,5050,390536,28540,4077,3741
"374",2021-01-08,5107,395643,30026,4289,4030
"375",2021-01-09,2822,398465,30351,4336,4066
"376",2021-01-10,2055,400520,30305,4329,4052
"377",2021-01-11,4002,404522,28787,4112,4054
"378",2021-01-12,3840,408362,27981,3997,3980
"379",2021-01-13,3839,412201,26715,3816,3927
"380",2021-01-14,3208,415409,24873,3553,3815
"381",2021-01-15,3179,418588,22945,3278,3784
"382",2021-01-16,1901,420489,22024,3146,3741
"383",2021-01-17,1488,421977,21457,3065,3697
"384",2021-01-18,2432,424409,19887,2841,3477
"385",2021-01-19,3256,427665,19303,2758,3377
"386",2021-01-20,2885,430550,18349,2621,3219
"387",2021-01-21,3548,434098,18689,2670,3112
"388",2021-01-22,3252,437350,18762,2680,2979
"389",2021-01-23,1774,439124,18635,2662,2904
"390",2021-01-24,1821,440945,18968,2710,2888
"391",2021-01-25,2930,443875,19466,2781,2811
"392",2021-01-26,3105,446980,19315,2759,2758
"393",2021-01-27,3547,450527,19977,2854,2738
"394",2021-01-28,2867,453394,19296,2757,2713
"395",2021-01-29,2220,455614,18264,2609,2645
"396",2021-01-30,1839,457453,18329,2618,2640
"397",2021-01-31,1177,458630,17685,2526,2618
"398",2021-02-01,2203,460833,16958,2423,2602
"399",2021-02-02,2245,463078,16098,2300,2530
"400",2021-02-03,2732,465810,15283,2183,2519
"401",2021-02-04,1608,467418,14024,2003,2380
"402",2021-02-05,1991,469409,13795,1971,2290
"403",2021-02-06,1002,470411,12958,1851,2235
"404",2021-02-07,1057,471468,12838,1834,2180
"405",2021-02-08,1486,472954,12121,1732,2077
"406",2021-02-09,1519,474473,11395,1628,1964
"407",2021-02-10,1574,476047,10237,1462,1823
"408",2021-02-11,1252,477299,9881,1412,1708
"409",2021-02-12,1194,478493,9084,1298,1634
"410",2021-02-13,1044,479537,9126,1304,1577
"411",2021-02-14,650,480187,8719,1246,1540
"412",2021-02-15,871,481058,8104,1158,1445
"413",2021-02-16,954,482012,7539,1077,1352
"414",2021-02-17,1025,483037,6990,999,1230
"415",2021-02-18,810,483847,6548,935,1174
"416",2021-02-19,782,484629,6136,877,1087
"417",2021-02-20,753,485382,5845,835,1069
"418",2021-02-21,665,486047,5860,837,1041
"419",2021-02-22,1349,487396,6338,905,1032
"420",2021-02-23,1360,488756,6744,963,1020
"421",2021-02-24,969,489725,6688,955,977
"422",2021-02-25,759,490484,6637,948,942
"423",2021-02-26,899,491383,6754,965,921
"424",2021-02-27,466,491849,6467,924,879
"425",2021-02-28,545,492394,6347,907,872
"426",2021-03-01,721,493115,5719,817,861
"427",2021-03-02,2666,495781,7025,1004,984
"428",2021-03-03,1056,496837,7112,1016,986
"429",2021-03-04,844,497681,7197,1028,988
"430",2021-03-05,602,498283,6900,986,975
"431",2021-03-06,392,498675,6826,975,950
"432",2021-03-07,253,498928,6534,933,920
"433",2021-03-08,555,499483,6368,910,863
"434",2021-03-09,811,500294,4513,645,824
"435",2021-03-10,879,501173,4336,619,818
"436",2021-03-11,550,501723,4042,577,803
"437",2021-03-12,616,502339,4056,579,783
"438",2021-03-13,363,502702,4027,575,775
"439",2021-03-14,4230,506932,8004,1143,1038
"440",2021-03-15,473,507405,7922,1132,1021
"441",2021-03-16,720,508125,7831,1119,882
"442",2021-03-17,563,508688,7515,1074,846
"443",2021-03-18,515,509203,7480,1069,823
"444",2021-03-19,531,509734,7395,1056,818
"445",2021-03-20,365,510099,7397,1057,816
"446",2021-03-21,297,510396,3464,495,819
"447",2021-03-22,187,510583,3178,454,793
"448",2021-03-23,898,511481,3356,479,799
"449",2021-03-24,509,511990,3302,472,773
"450",2021-03-25,455,512445,3242,463,766
"451",2021-03-26,488,512933,3199,457,757
"452",2021-03-27,314,513247,3148,450,753
"453",2021-03-28,209,513456,3060,437,466
"454",2021-03-29,375,513831,3248,464,459
"455",2021-03-30,455,514286,2805,401,440
"456",2021-03-31,455,514741,2751,393,432
"457",2021-04-01,438,515179,2734,391,427
"458",2021-04-02,352,515531,2598,371,414
"459",2021-04-03,182,515713,2466,352,401
"460",2021-04-04,118,515831,2375,339,388
"461",2021-04-05,263,516094,2263,323,394
"462",2021-04-06,415,516509,2223,318,359
"463",2021-04-07,426,516935,2194,313,353
"464",2021-04-08,340,517275,2096,299,345
"465",2021-04-09,358,517633,2102,300,336
"466",2021-04-10,296,517929,2216,317,334
"467",2021-04-11,168,518097,2266,324,332
"468",2021-04-12,1453,519550,3456,494,408
"469",2021-04-13,468,520018,3509,501,409
"470",2021-04-14,410,520428,3493,499,406
"471",2021-04-15,412,520840,3565,509,404
"472",2021-04-16,506,521346,3713,530,415
"473",2021-04-17,258,521604,3675,525,421
"474",2021-04-18,103,521707,3610,516,420
"475",2021-04-19,1435,523142,3592,513,503
"476",2021-04-20,472,523614,3596,514,508
"477",2021-04-21,653,524267,3839,548,524
"478",2021-04-22,416,524683,3843,549,529
"479",2021-04-23,411,525094,3748,535,533
"480",2021-04-24,242,525336,3732,533,529
"481",2021-04-25,251,525587,3880,554,535
"482",2021-04-26,294,525881,2739,391,452
"483",2021-04-27,423,526304,2690,384,449
"484",2021-04-28,437,526741,2474,353,451
"485",2021-04-29,406,527147,2464,352,450
"486",2021-04-30,368,527515,2421,346,441
"487",2021-05-01,238,527753,2417,345,439
"488",2021-05-02,168,527921,2334,333,444
"489",2021-05-03,353,528274,2393,342,367
"490",2021-05-04,377,528651,2347,335,360
"491",2021-05-05,585,529236,2495,356,355
"492",2021-05-06,334,529570,2423,346,349
"493",2021-05-07,425,529995,2480,354,350
"494",2021-05-08,243,530238,2485,355,350
"495",2021-05-09,117,530355,2434,348,341
"496",2021-05-10,309,530664,2390,341,342
"497",2021-05-11,371,531035,2384,341,338
"498",2021-05-12,1139,532174,2938,420,388
"499",2021-05-13,5329,537503,7933,1133,740
"500",2021-05-14,1452,538955,8960,1280,817
"501",2021-05-15,252,539207,8969,1281,818
"502",2021-05-16,178,539385,9030,1290,819
"503",2021-05-17,372,539757,9093,1299,820
"504",2021-05-18,335,540092,9057,1294,817
"505",2021-05-19,330,540422,8248,1178,799
"506",2021-05-20,457,540879,3376,482,808
"507",2021-05-21,251,541130,2175,311,795
"508",2021-05-22,189,541319,2112,302,792
"509",2021-05-23,131,541450,2065,295,792
"510",2021-05-24,321,541771,2014,288,793
"511",2021-05-25,280,542051,1959,280,787
"512",2021-05-26,345,542396,1974,282,730
"513",2021-05-27,233,542629,1750,250,366
"514",2021-05-28,229,542858,1728,247,279
"515",2021-05-29,130,542988,1669,238,270
"516",2021-05-30,106,543094,1644,235,265
"517",2021-05-31,101,543195,1424,203,246
"518",2021-06-01,211,543406,1355,194,237
"519",2021-06-02,243,543649,1253,179,230
"520",2021-06-03,283,543932,1303,186,218
"521",2021-06-04,230,544162,1304,186,217
"522",2021-06-05,99,544261,1273,182,210
"523",2021-06-06,74,544335,1241,177,206
"524",2021-06-07,199,544534,1339,191,197
"525",2021-06-08,165,544699,1293,185,189
"526",2021-06-09,218,544917,1268,181,180
"527",2021-06-10,139,545056,1124,161,173
"528",2021-06-11,254,545310,1148,164,175
"529",2021-06-12,130,545440,1179,168,175
"530",2021-06-13,116,545556,1221,174,176
"531",2021-06-14,161,545717,1183,169,180
"532",2021-06-15,171,545888,1189,170,177
"533",2021-06-16,153,546041,1124,161,171
"534",2021-06-17,185,546226,1170,167,164
"535",2021-06-18,147,546373,1063,152,158
"536",2021-06-19,112,546485,1045,149,159
"537",2021-06-20,87,546572,1016,145,160
"538",2021-06-21,177,546749,1032,147,158
"539",2021-06-22,237,546986,1098,157,163
"540",2021-06-23,218,547204,1163,166,163
"541",2021-06-24,248,547452,1226,175,171
"542",2021-06-25,177,547629,1256,179,166
"543",2021-06-26,176,547805,1320,189,169
"544",2021-06-27,154,547959,1387,198,172
"545",2021-06-28,199,548158,1409,201,174
"546",2021-06-29,329,548487,1501,214,186
"547",2021-06-30,281,548768,1564,223,195
"548",2021-07-01,304,549072,1620,231,203
"549",2021-07-02,248,549320,1691,242,210
"550",2021-07-03,165,549485,1680,240,214
"551",2021-07-04,124,549609,1650,236,217
"552",2021-07-05,185,549794,1636,234,218
"553",2021-07-06,540,550334,1847,264,239
"554",2021-07-07,538,550872,2104,301,262
"555",2021-07-08,571,551443,2371,339,285
"556",2021-07-09,445,551888,2568,367,304
"557",2021-07-10,306,552194,2709,387,314
"558",2021-07-11,288,552482,2873,410,323
"559",2021-07-12,704,553186,3392,485,359
"560",2021-07-13,667,553853,3519,503,383
"561",2021-07-14,951,554804,3932,562,431
"562",2021-07-15,968,555772,4329,618,479
"563",2021-07-16,860,556632,4744,678,522
"564",2021-07-17,701,557333,5139,734,561
"565",2021-07-18,636,557969,5487,784,597
"566",2021-07-19,1386,559355,6169,881,683
"567",2021-07-20,1550,560905,7052,1007,755
"568",2021-07-21,1509,562414,7610,1087,824
"569",2021-07-22,1766,564180,8408,1201,910
"570",2021-07-23,1865,566045,9413,1345,1011
"571",2021-07-24,1495,567540,10207,1458,1096
"572",2021-07-25,1398,568938,10969,1567,1175
"573",2021-07-26,2691,571629,12274,1753,1317
"574",2021-07-27,2668,574297,13392,1913,1460
"575",2021-07-28,2721,577018,14604,2086,1587
"576",2021-07-29,2776,579794,15614,2231,1716
"577",2021-07-30,2591,582385,16340,2334,1840
"578",2021-07-31,1751,584136,16596,2371,1914
"579",2021-08-01,1700,585836,16898,2414,1990
"580",2021-08-02,3262,589098,17469,2496,2124
"581",2021-08-03,3412,592510,18213,2602,2258
"582",2021-08-04,3790,596300,19282,2755,2420
"583",2021-08-05,3598,599898,20104,2872,2551
"584",2021-08-06,3875,603773,21388,3055,2695
"585",2021-08-07,309,604082,19946,2849,2610
"586",2021-08-08,4514,608596,22760,3251,2833
"587",2021-08-09,3791,612387,23289,3327,2911
"588",2021-08-10,3901,616288,23778,3397,2999
"589",2021-08-11,4169,620457,24157,3451,3103
"590",2021-08-12,3917,624374,24476,3497,3184
"591",2021-08-13,3593,627967,24194,3456,3256
"592",2021-08-14,3251,631218,27136,3877,3363
"593",2021-08-15,2351,633569,24973,3568,3410
"594",2021-08-16,4014,637583,25196,3599,3463
"595",2021-08-17,4604,642187,25899,3700,3548
"596",2021-08-18,3793,645980,25523,3646,3549
"597",2021-08-19,4443,650423,26049,3721,3609
"598",2021-08-20,5456,655879,27912,3987,3722
"599",2021-08-21,3247,659126,27908,3987,3932
"600",2021-08-22,2537,661663,28094,4013,3790
"601",2021-08-23,3480,665143,27560,3937,3768
"602",2021-08-24,3663,668806,26619,3803,3751
"603",2021-08-25,4055,672861,26881,3840,3743
"604",2021-08-26,4975,677836,27413,3916,3819
"605",2021-08-27,6101,683937,28058,4008,3998
"606",2021-08-28,3311,687248,28122,4017,4002
