"","Date","Cases per day","Cumulative cases","Case rate per 100,000","Case rate 7-day average","Cases in the last 7 days","Case rate in the last 7 days","% change to the 7-day total","7-day average of daily cases","14-day average of daily cases","14-day cases"
"49",2020-02-18,0,31,0,0,8,0.2,"300%",1,1,10
"50",2020-02-19,0,31,0,0,8,0.2,"300%",1,1,10
"51",2020-02-20,1,32,0,0,8,0.2,"166.7%",1,1,11
"52",2020-02-21,2,34,0,0,9,0.2,"125%",1,1,13
"53",2020-02-22,0,34,0,0,7,0.1,"40%",1,1,12
"54",2020-02-23,1,35,0,0,8,0.2,"60%",1,1,13
"55",2020-02-24,4,39,0.1,0,8,0.2,"0%",1,1,16
"56",2020-02-25,1,40,0,0,9,0.2,"12.5%",1,1,17
"57",2020-02-26,2,42,0,0,11,0.2,"37.5%",2,1,19
"58",2020-02-27,6,48,0.1,0,16,0.3,"100%",2,2,24
"59",2020-02-28,4,52,0.1,0.1,18,0.4,"100%",3,2,27
"60",2020-02-29,3,55,0.1,0.1,21,0.4,"200%",3,2,28
"61",2020-03-01,14,69,0.3,0.1,34,0.7,"325%",5,3,42
"62",2020-03-02,7,76,0.1,0.1,37,0.8,"362.5%",5,3,45
"63",2020-03-03,10,86,0.2,0.1,46,0.9,"411.1%",7,4,55
"64",2020-03-04,9,95,0.2,0.2,53,1.1,"381.8%",8,5,64
"65",2020-03-05,7,102,0.1,0.2,54,1.1,"237.5%",8,5,70
"66",2020-03-06,8,110,0.2,0.2,58,1.2,"222.2%",8,5,76
"67",2020-03-07,14,124,0.3,0.2,69,1.4,"228.6%",10,6,90
"68",2020-03-08,14,138,0.3,0.2,69,1.4,"102.9%",10,7,103
"69",2020-03-09,26,164,0.5,0.3,88,1.8,"137.8%",13,9,125
"70",2020-03-10,24,188,0.5,0.3,102,2.1,"121.7%",15,11,148
"71",2020-03-11,29,217,0.6,0.4,122,2.5,"130.2%",17,12,175
"72",2020-03-12,37,254,0.8,0.4,152,3.1,"181.5%",22,15,206
"73",2020-03-13,63,317,1.3,0.6,207,4.2,"256.9%",30,19,265
"74",2020-03-14,76,393,1.6,0.8,269,5.5,"289.9%",38,24,338
"75",2020-03-15,67,460,1.4,0.9,322,6.6,"366.7%",46,28,391
"76",2020-03-16,112,572,2.3,1.2,408,8.3,"363.6%",58,35,496
"77",2020-03-17,124,696,2.5,1.5,508,10.4,"398%",73,44,610
"78",2020-03-18,137,833,2.8,1.8,616,12.6,"404.9%",88,53,738
"79",2020-03-19,121,954,2.5,2,700,14.3,"360.5%",100,61,852
"80",2020-03-20,155,1109,3.2,2.3,792,16.2,"282.6%",113,71,999
"81",2020-03-21,119,1228,2.4,2.4,835,17,"210.4%",119,79,1104
"82",2020-03-22,121,1349,2.5,2.6,889,18.1,"176.1%",127,86,1211
"83",2020-03-23,217,1566,4.4,2.9,994,20.3,"143.6%",142,100,1402
"84",2020-03-24,155,1721,3.2,3,1025,20.9,"101.8%",146,110,1533
"85",2020-03-25,174,1895,3.5,3.1,1062,21.7,"72.4%",152,120,1678
"86",2020-03-26,176,2071,3.6,3.3,1117,22.8,"59.6%",160,130,1817
"87",2020-03-27,228,2299,4.7,3.5,1190,24.3,"50.3%",170,142,1982
"88",2020-03-28,141,2440,2.9,3.5,1212,24.7,"45.1%",173,146,2047
"89",2020-03-29,129,2569,2.6,3.6,1220,24.9,"37.2%",174,151,2109
"90",2020-03-30,248,2817,5.1,3.6,1251,25.5,"25.9%",179,160,2245
"91",2020-03-31,209,3026,4.3,3.8,1305,26.6,"27.3%",186,166,2330
"92",2020-04-01,196,3222,4,3.9,1327,27.1,"25%",190,171,2389
"93",2020-04-02,222,3444,4.5,4,1373,28,"22.9%",196,178,2490
"94",2020-04-03,205,3649,4.2,3.9,1350,27.5,"13.4%",193,181,2540
"95",2020-04-04,146,3795,3,3.9,1355,27.6,"11.8%",194,183,2567
"96",2020-04-05,156,3951,3.2,4,1382,28.2,"13.3%",197,186,2602
"97",2020-04-06,298,4249,6.1,4.2,1432,29.2,"14.5%",205,192,2683
"98",2020-04-07,236,4485,4.8,4.3,1459,29.8,"11.8%",208,197,2764
"99",2020-04-08,205,4690,4.2,4.3,1468,29.9,"10.6%",210,200,2795
"100",2020-04-09,212,4902,4.3,4.2,1458,29.7,"6.2%",208,202,2831
"101",2020-04-10,179,5081,3.7,4.2,1432,29.2,"6.1%",205,199,2782
"102",2020-04-11,115,5196,2.3,4.1,1401,28.6,"3.4%",200,197,2756
"103",2020-04-12,112,5308,2.3,4,1357,27.7,"-1.8%",194,196,2739
"104",2020-04-13,262,5570,5.3,3.8,1321,26.9,"-7.8%",189,197,2753
"105",2020-04-14,176,5746,3.6,3.7,1261,25.7,"-13.6%",180,194,2720
"106",2020-04-15,165,5911,3.4,3.6,1221,24.9,"-16.8%",174,192,2689
"107",2020-04-16,212,6123,4.3,3.6,1221,24.9,"-16.3%",174,191,2679
"108",2020-04-17,206,6329,4.2,3.6,1248,25.5,"-12.8%",178,191,2680
"109",2020-04-18,191,6520,3.9,3.9,1324,27,"-5.5%",189,195,2725
"110",2020-04-19,125,6645,2.5,3.9,1337,27.3,"-1.5%",191,192,2694
"111",2020-04-20,293,6938,6,4,1368,27.9,"3.6%",195,192,2689
"112",2020-04-21,258,7196,5.3,4.2,1450,29.6,"15%",207,194,2711
"113",2020-04-22,244,7440,5,4.5,1529,31.2,"25.2%",218,196,2750
"114",2020-04-23,204,7644,4.2,4.4,1521,31,"24.6%",217,196,2742
"115",2020-04-24,208,7852,4.2,4.4,1523,31.1,"22%",218,198,2771
"116",2020-04-25,214,8066,4.4,4.5,1546,31.5,"16.8%",221,205,2870
"117",2020-04-26,173,8239,3.5,4.6,1594,32.5,"19.2%",228,209,2931
"118",2020-04-27,330,8569,6.7,4.8,1631,33.3,"19.2%",233,214,2999
"119",2020-04-28,312,8881,6.4,4.9,1685,34.4,"16.2%",241,224,3135
"120",2020-04-29,262,9143,5.3,5,1703,34.7,"11.4%",243,231,3232
"121",2020-04-30,296,9439,6,5.2,1795,36.6,"18%",256,237,3316
"122",2020-05-01,347,9786,7.1,5.6,1934,39.4,"27%",276,247,3457
"123",2020-05-02,134,9920,2.7,5.4,1854,37.8,"19.9%",265,243,3400
"124",2020-05-03,169,10089,3.4,5.4,1850,37.7,"16.1%",264,246,3444
"125",2020-05-04,326,10415,6.6,5.4,1846,37.6,"13.2%",264,248,3477
"126",2020-05-05,312,10727,6.4,5.4,1846,37.6,"9.6%",264,252,3531
"127",2020-05-06,312,11039,6.4,5.5,1896,38.7,"11.3%",271,257,3599
"128",2020-05-07,283,11322,5.8,5.5,1883,38.4,"4.9%",269,263,3678
"129",2020-05-08,287,11609,5.9,5.3,1823,37.2,"-5.7%",260,268,3757
"130",2020-05-09,168,11777,3.4,5.4,1857,37.9,"0.2%",265,265,3711
"131",2020-05-10,232,12009,4.7,5.6,1920,39.2,"3.8%",274,269,3770
"132",2020-05-11,417,12426,8.5,5.9,2011,41,"8.9%",287,276,3857
"133",2020-05-12,391,12817,8,6.1,2090,42.6,"13.2%",299,281,3936
"134",2020-05-13,425,13242,8.7,6.4,2203,44.9,"16.2%",315,293,4099
"135",2020-05-14,416,13658,8.5,6.8,2336,47.6,"24.1%",334,301,4219
"136",2020-05-15,427,14085,8.7,7.2,2476,50.5,"35.8%",354,307,4299
"137",2020-05-16,292,14377,6,7.6,2600,53,"40%",371,318,4457
"138",2020-05-17,255,14632,5.2,7.6,2623,53.5,"36.6%",375,324,4543
"139",2020-05-18,510,15142,10.4,7.9,2716,55.4,"35.1%",388,338,4727
"140",2020-05-19,514,15656,10.5,8.3,2839,57.9,"35.8%",406,352,4929
"141",2020-05-20,538,16194,11,8.6,2952,60.2,"34%",422,368,5155
"142",2020-05-21,516,16710,10.5,8.9,3052,62.2,"30.7%",436,385,5388
"143",2020-05-22,396,17106,8.1,8.8,3021,61.6,"22%",432,393,5497
"144",2020-05-23,320,17426,6.5,8.9,3049,62.2,"17.3%",436,404,5649
"145",2020-05-24,282,17708,5.8,9,3076,62.7,"17.3%",439,407,5699
"146",2020-05-25,362,18070,7.4,8.5,2928,59.7,"7.8%",418,403,5644
"147",2020-05-26,577,18647,11.8,8.7,2991,61,"5.4%",427,416,5830
"148",2020-05-27,633,19280,12.9,9,3086,62.9,"4.5%",441,431,6038
"149",2020-05-28,513,19793,10.5,9,3083,62.9,"1%",440,438,6135
"150",2020-05-29,504,20297,10.3,9.3,3191,65.1,"5.6%",456,444,6212
"151",2020-05-30,388,20685,7.9,9.5,3259,66.5,"6.9%",466,451,6308
"152",2020-05-31,354,21039,7.2,9.7,3331,67.9,"8.3%",476,458,6407
"153",2020-06-01,747,21786,15.2,10.8,3716,75.8,"26.9%",531,475,6644
"154",2020-06-02,565,22351,11.5,10.8,3704,75.5,"23.8%",529,478,6695
"155",2020-06-03,603,22954,12.3,10.7,3674,74.9,"19.1%",525,483,6760
"156",2020-06-04,516,23470,10.5,10.7,3677,75,"19.3%",525,483,6760
"157",2020-06-05,602,24072,12.3,11,3775,77,"18.3%",539,498,6966
"158",2020-06-06,403,24475,8.2,11,3790,77.3,"16.3%",541,504,7049
"159",2020-06-07,363,24838,7.4,11.1,3799,77.5,"14%",543,509,7130
"160",2020-06-08,786,25624,16,11.2,3838,78.3,"3.3%",548,540,7554
"161",2020-06-09,717,26341,14.6,11.6,3990,81.4,"7.7%",570,550,7694
"162",2020-06-10,791,27132,16.1,12.2,4178,85.2,"13.7%",597,561,7852
"163",2020-06-11,750,27882,15.3,12.9,4412,90,"20%",630,578,8089
"164",2020-06-12,686,28568,14,13.1,4496,91.7,"19.1%",642,591,8271
"165",2020-06-13,442,29010,9,13.2,4535,92.5,"19.7%",648,595,8325
"166",2020-06-14,411,29421,8.4,13.4,4583,93.5,"20.6%",655,599,8382
"167",2020-06-15,959,30380,19.6,13.9,4756,97,"23.9%",679,614,8594
"168",2020-06-16,814,31194,16.6,14.1,4853,99,"21.6%",693,632,8843
"169",2020-06-17,915,32109,18.7,14.5,4977,101.5,"19.1%",711,654,9155
"170",2020-06-18,876,32985,17.9,14.9,5103,104.1,"15.7%",729,680,9515
"171",2020-06-19,925,33910,18.9,15.6,5342,108.9,"18.8%",763,703,9838
"172",2020-06-20,659,34569,13.4,16.2,5559,113.4,"22.6%",794,721,10094
"173",2020-06-21,601,35170,12.3,16.8,5749,117.3,"25.4%",821,738,10332
"174",2020-06-22,1261,36431,25.7,17.6,6051,123.4,"27.2%",864,772,10807
"175",2020-06-23,1125,37556,22.9,18.5,6362,129.8,"31.1%",909,801,11215
"176",2020-06-24,1161,38717,23.7,19.3,6608,134.8,"32.8%",944,828,11585
"177",2020-06-25,1154,39871,23.5,20.1,6886,140.4,"34.9%",984,856,11989
"178",2020-06-26,1167,41038,23.8,20.8,7128,145.4,"33.4%",1018,891,12470
"179",2020-06-27,769,41807,15.7,21.1,7238,147.6,"30.2%",1034,914,12797
"180",2020-06-28,845,42652,17.2,21.8,7482,152.6,"30.1%",1069,945,13231
"181",2020-06-29,1681,44333,34.3,23,7902,161.2,"30.6%",1129,997,13953
"182",2020-06-30,1542,45875,31.4,24.2,8319,169.7,"30.8%",1188,1049,14681
"183",2020-07-01,1738,47613,35.4,25.9,8896,181.4,"34.6%",1271,1107,15504
"184",2020-07-02,1735,49348,35.4,27.6,9477,193.3,"37.6%",1354,1169,16363
"185",2020-07-03,1218,50566,24.8,27.8,9528,194.3,"33.7%",1361,1190,16656
"186",2020-07-04,633,51199,12.9,27.4,9392,191.5,"29.8%",1342,1188,16630
"187",2020-07-05,898,52097,18.3,27.5,9445,192.6,"26.2%",1349,1209,16927
"188",2020-07-06,2678,54775,54.6,30.4,10442,213,"32.1%",1492,1310,18344
"189",2020-07-07,2618,57393,53.4,33.6,11518,234.9,"38.5%",1645,1417,19837
"190",2020-07-08,2530,59923,51.6,35.9,12310,251.1,"38.4%",1759,1515,21206
"191",2020-07-09,2350,62273,47.9,37.7,12925,263.6,"36.4%",1846,1600,22402
"192",2020-07-10,2435,64708,49.7,41.2,14142,288.4,"48.4%",2020,1691,23670
"193",2020-07-11,1031,65739,21,42.4,14540,296.5,"54.8%",2077,1709,23932
"194",2020-07-12,909,66648,18.5,42.4,14551,296.8,"54.1%",2079,1714,23996
"195",2020-07-13,2631,69279,53.7,42.3,14504,295.8,"38.9%",2072,1782,24946
"196",2020-07-14,2438,71717,49.7,41.7,14324,292.1,"24.4%",2046,1846,25842
"197",2020-07-15,2323,74040,47.4,41.1,14117,287.9,"14.7%",2017,1888,26427
"198",2020-07-16,2252,76292,45.9,40.8,14019,285.9,"8.5%",2003,1925,26944
"199",2020-07-17,1988,78280,40.5,39.5,13572,276.8,"-4%",1939,1980,27714
"200",2020-07-18,1101,79381,22.5,39.7,13642,278.2,"-6.2%",1949,2013,28182
"201",2020-07-19,923,80304,18.8,39.8,13656,278.5,"-6.2%",1951,2015,28207
"202",2020-07-20,2647,82951,54,39.8,13672,278.8,"-5.7%",1953,2013,28176
"203",2020-07-21,2238,85189,45.6,39.3,13472,274.8,"-5.9%",1925,1985,27796
"204",2020-07-22,2049,87238,41.8,38.5,13198,269.2,"-6.5%",1885,1951,27315
"205",2020-07-23,1892,89130,38.6,37.4,12838,261.8,"-8.4%",1834,1918,26857
"206",2020-07-24,1528,90658,31.2,36.1,12378,252.4,"-8.8%",1768,1854,25950
"207",2020-07-25,932,91590,19,35.6,12209,249,"-10.5%",1744,1846,25851
"208",2020-07-26,794,92384,16.2,35.2,12080,246.4,"-11.5%",1726,1838,25736
"209",2020-07-27,2216,94600,45.2,33.9,11649,237.6,"-14.8%",1664,1809,25321
"210",2020-07-28,2060,96660,42,33.4,11471,233.9,"-14.9%",1639,1782,24943
"211",2020-07-29,1993,98653,40.6,33.3,11415,232.8,"-13.5%",1631,1758,24613
"212",2020-07-30,1596,100249,32.6,32.4,11119,226.8,"-13.4%",1588,1711,23957
"213",2020-07-31,1342,101591,27.4,31.9,10933,223,"-11.7%",1562,1665,23311
"214",2020-08-01,956,102547,19.5,31.9,10957,223.5,"-10.3%",1565,1655,23166
"215",2020-08-02,842,103389,17.2,32.1,11005,224.4,"-8.9%",1572,1649,23085
"216",2020-08-03,2013,105402,41.1,31.5,10802,220.3,"-7.3%",1543,1604,22451
"217",2020-08-04,1668,107070,34,30.3,10410,212.3,"-9.2%",1487,1563,21881
"218",2020-08-05,1574,108644,32.1,29.1,9991,203.8,"-12.5%",1427,1529,21406
"219",2020-08-06,1523,110167,31.1,28.9,9918,202.3,"-10.8%",1417,1503,21037
"220",2020-08-07,1321,111488,26.9,28.8,9897,201.8,"-9.5%",1414,1488,20830
"221",2020-08-08,773,112261,15.8,28.3,9714,198.1,"-11.3%",1388,1476,20671
"222",2020-08-09,648,112909,13.2,27.7,9520,194.2,"-13.5%",1360,1466,20525
"223",2020-08-10,1619,114528,33,26.6,9126,186.1,"-15.5%",1304,1423,19928
"224",2020-08-11,1348,115876,27.5,25.7,8806,179.6,"-15.4%",1258,1373,19216
"225",2020-08-12,1204,117080,24.6,24.6,8436,172.1,"-15.6%",1205,1316,18427
"226",2020-08-13,1100,118180,22.4,23.3,8013,163.4,"-19.2%",1145,1281,17931
"227",2020-08-14,1069,119249,21.8,22.6,7761,158.3,"-21.6%",1109,1261,17658
"228",2020-08-15,650,119899,13.3,22.3,7638,155.8,"-21.4%",1091,1239,17352
"229",2020-08-16,597,120496,12.2,22.1,7587,154.7,"-20.3%",1084,1222,17107
"230",2020-08-17,1199,121695,24.5,20.9,7167,146.2,"-21.5%",1024,1164,16293
"231",2020-08-18,1040,122735,21.2,20,6859,139.9,"-22.1%",980,1119,15665
"232",2020-08-19,1049,123784,21.4,19.5,6704,136.7,"-20.5%",958,1081,15140
"233",2020-08-20,1035,124819,21.1,19.3,6639,135.4,"-17.1%",948,1047,14652
"234",2020-08-21,1120,125939,22.8,19.5,6690,136.4,"-13.8%",956,1032,14451
"235",2020-08-22,741,126680,15.1,19.8,6781,138.3,"-11.2%",969,1030,14419
"236",2020-08-23,838,127518,17.1,20.5,7022,143.2,"-7.4%",1003,1044,14609
"237",2020-08-24,1711,129229,34.9,22,7534,153.7,"5.1%",1076,1050,14701
"238",2020-08-25,1426,130655,29.1,23.1,7920,161.5,"15.5%",1131,1056,14779
"239",2020-08-26,1431,132086,29.2,24.2,8302,169.3,"23.8%",1186,1072,15006
"240",2020-08-27,1394,133480,28.4,25.2,8661,176.6,"30.5%",1237,1093,15300
"241",2020-08-28,1265,134745,25.8,25.7,8806,179.6,"31.6%",1258,1107,15496
"242",2020-08-29,650,135395,13.3,25.4,8715,177.7,"28.5%",1245,1107,15496
"243",2020-08-30,722,136117,14.7,25.1,8599,175.4,"22.5%",1228,1116,15621
"244",2020-08-31,1421,137538,29,24.2,8309,169.5,"10.3%",1187,1132,15843
"245",2020-09-01,1400,138938,28.6,24.1,8283,168.9,"4.6%",1183,1157,16203
"246",2020-09-02,1306,140244,26.6,23.8,8158,166.4,"-1.7%",1165,1176,16460
"247",2020-09-03,1079,141323,22,22.9,7843,160,"-9.4%",1120,1179,16504
"248",2020-09-04,1004,142327,20.5,22.1,7582,154.6,"-13.9%",1083,1171,16388
"249",2020-09-05,585,142912,11.9,21.9,7517,153.3,"-13.7%",1074,1159,16232
"250",2020-09-06,580,143492,11.8,21.5,7375,150.4,"-14.2%",1054,1141,15974
"251",2020-09-07,710,144202,14.5,19.4,6664,135.9,"-19.8%",952,1070,14973
"252",2020-09-08,1365,145567,27.8,19.3,6629,135.2,"-20%",947,1065,14912
"253",2020-09-09,1119,146686,22.8,18.8,6442,131.4,"-21%",920,1043,14600
"254",2020-09-10,997,147683,20.3,18.5,6360,129.7,"-18.9%",909,1014,14203
"255",2020-09-11,927,148610,18.9,18.3,6283,128.1,"-17.1%",898,990,13865
"256",2020-09-12,626,149236,12.8,18.4,6324,129,"-15.9%",903,989,13841
"257",2020-09-13,594,149830,12.1,18.5,6338,129.3,"-14.1%",905,980,13713
"258",2020-09-14,1095,150925,22.3,19.6,6723,137.1,"0.9%",960,956,13387
"259",2020-09-15,990,151915,20.2,18.5,6348,129.5,"-4.2%",907,927,12977
"260",2020-09-16,911,152826,18.6,17.9,6140,125.2,"-4.7%",877,899,12582
"261",2020-09-17,829,153655,16.9,17.4,5972,121.8,"-6.1%",853,881,12332
"262",2020-09-18,850,154505,17.3,17.2,5895,120.2,"-6.2%",842,870,12178
"263",2020-09-19,565,155070,11.5,17,5834,119,"-7.7%",833,868,12158
"264",2020-09-20,583,155653,11.9,17,5823,118.8,"-8.1%",832,869,12161
"265",2020-09-21,1131,156784,23.1,17.1,5859,119.5,"-12.9%",837,899,12582
"266",2020-09-22,906,157690,18.5,16.8,5775,117.8,"-9%",825,866,12123
"267",2020-09-23,809,158499,16.5,16.5,5673,115.7,"-7.6%",810,844,11813
"268",2020-09-24,800,159299,16.3,16.4,5644,115.1,"-5.5%",806,830,11616
"269",2020-09-25,859,160158,17.5,16.5,5653,115.3,"-4.1%",808,825,11548
"270",2020-09-26,596,160754,12.2,16.6,5684,115.9,"-2.6%",812,823,11518
"271",2020-09-27,592,161346,12.1,16.6,5693,116.1,"-2.2%",813,823,11516
"272",2020-09-28,1142,162488,23.3,16.6,5704,116.3,"-2.6%",815,826,11563
"273",2020-09-29,818,163306,16.7,16.4,5616,114.5,"-2.8%",802,814,11391
"274",2020-09-30,908,164214,18.5,16.7,5715,116.6,"0.7%",816,813,11388
"275",2020-10-01,836,165050,17.1,16.8,5751,117.3,"1.9%",822,814,11395
"276",2020-10-02,870,165920,17.7,16.8,5762,117.5,"1.9%",823,815,11415
"277",2020-10-03,646,166566,13.2,16.9,5812,118.5,"2.3%",830,821,11496
"278",2020-10-04,676,167242,13.8,17.2,5896,120.2,"3.6%",842,828,11589
"279",2020-10-05,1278,168520,26.1,17.6,6032,123,"5.8%",862,838,11736
"280",2020-10-06,1060,169580,21.6,18.3,6274,128,"11.7%",896,849,11890
"281",2020-10-07,1145,170725,23.4,19,6511,132.8,"13.9%",930,873,12226
"282",2020-10-08,1061,171786,21.6,19.6,6736,137.4,"17.1%",962,892,12487
"283",2020-10-09,1106,172892,22.6,20.3,6972,142.2,"21%",996,910,12734
"284",2020-10-10,779,173671,15.9,20.7,7105,144.9,"22.2%",1015,923,12917
"285",2020-10-11,745,174416,15.2,20.9,7174,146.3,"21.7%",1025,934,13070
"286",2020-10-12,1391,175807,28.4,21.2,7287,148.6,"20.8%",1041,951,13319
"287",2020-10-13,1289,177096,26.3,21.9,7516,153.3,"19.8%",1074,985,13790
"288",2020-10-14,1138,178234,23.2,21.9,7509,153.1,"15.3%",1073,1001,14020
"289",2020-10-15,1186,179420,24.2,22.2,7634,155.7,"13.3%",1091,1026,14370
"290",2020-10-16,1122,180542,22.9,22.3,7650,156,"9.7%",1093,1044,14622
"291",2020-10-17,747,181289,15.2,22.2,7618,155.4,"7.2%",1088,1052,14723
"292",2020-10-18,814,182103,16.6,22.4,7687,156.8,"7.2%",1098,1062,14861
"293",2020-10-19,1551,183654,31.6,22.9,7847,160,"7.7%",1121,1081,15134
"294",2020-10-20,1338,184992,27.3,23,7896,161,"5.1%",1128,1101,15412
"295",2020-10-21,1329,186321,27.1,23.6,8087,164.9,"7.7%",1155,1114,15596
"296",2020-10-22,1382,187703,28.2,24.1,8283,168.9,"8.5%",1183,1137,15917
"297",2020-10-23,1252,188955,25.5,24.5,8413,171.6,"10%",1202,1147,16063
"298",2020-10-24,800,189755,16.3,24.7,8466,172.7,"11.1%",1209,1149,16084
"299",2020-10-25,904,190659,18.4,24.9,8556,174.5,"11.3%",1222,1160,16243
"300",2020-10-26,1841,192500,37.5,25.8,8846,180.4,"12.7%",1264,1192,16693
"301",2020-10-27,1695,194195,34.6,26.8,9203,187.7,"16.6%",1315,1221,17099
"302",2020-10-28,1480,195675,30.2,27.3,9354,190.8,"15.7%",1336,1246,17441
"303",2020-10-29,1304,196979,26.6,27,9276,189.2,"12%",1325,1254,17559
"304",2020-10-30,1218,198197,24.8,26.9,9242,188.5,"9.9%",1320,1261,17655
"305",2020-10-31,818,199015,16.7,27,9260,188.9,"9.4%",1323,1266,17726
"306",2020-11-01,938,199953,19.1,27.1,9294,189.6,"8.6%",1328,1275,17850
"307",2020-11-02,1761,201714,35.9,26.8,9214,187.9,"4.2%",1316,1290,18060
"308",2020-11-03,1474,203188,30.1,26.2,8993,183.4,"-2.3%",1285,1300,18196
"309",2020-11-04,1630,204818,33.2,26.6,9143,186.5,"-2.3%",1306,1321,18497
"310",2020-11-05,1823,206641,37.2,28.2,9662,197.1,"4.2%",1380,1353,18938
"311",2020-11-06,1686,208327,34.4,29.5,10130,206.6,"9.6%",1447,1384,19372
"312",2020-11-07,1192,209519,24.3,30.6,10504,214.2,"13.4%",1501,1412,19764
"313",2020-11-08,1237,210756,25.2,31.5,10803,220.3,"16.2%",1543,1436,20097
"314",2020-11-09,2918,213674,59.5,34.8,11960,243.9,"29.8%",1709,1512,21174
"315",2020-11-10,2472,216146,50.4,37.8,12958,264.3,"44.1%",1851,1568,21951
"316",2020-11-11,2407,218553,49.1,40,13735,280.1,"50.2%",1962,1634,22878
"317",2020-11-12,2369,220922,48.3,41.6,14281,291.3,"47.8%",2040,1710,23943
"318",2020-11-13,2099,223021,42.8,42.8,14694,299.7,"45.1%",2099,1773,24824
"319",2020-11-14,1431,224452,29.2,43.5,14933,304.6,"42.2%",2133,1817,25437
"320",2020-11-15,1396,225848,28.5,44,15092,307.8,"39.7%",2156,1850,25895
"321",2020-11-16,3197,229045,65.2,44.8,15371,313.5,"28.5%",2196,1952,27331
"322",2020-11-17,2633,231678,53.7,45.3,15532,316.8,"19.9%",2219,2035,28490
"323",2020-11-18,2564,234242,52.3,45.7,15689,320,"14.2%",2241,2102,29424
"324",2020-11-19,2525,236767,51.5,46.2,15845,323.2,"11%",2264,2152,30126
"325",2020-11-20,2288,239055,46.7,46.7,16034,327,"9.1%",2291,2195,30728
"326",2020-11-21,1516,240571,30.9,47,16119,328.7,"7.9%",2303,2218,31052
"327",2020-11-22,1601,242172,32.7,47.6,16324,332.9,"8.2%",2332,2244,31416
"328",2020-11-23,3424,245596,69.8,48.2,16551,337.6,"7.7%",2364,2280,31922
